preferredLabel,description,broaderConceptPT
manage ICT data classification,Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data.,manage ICT data architecture
implement data warehousing techniques,"Apply models and tools such as online analytical processing (OLAP) and Online transaction processing (OLTP), to integrate structured or unstructured data from sources, in order to create a central depository of historical and current data.","managing, gathering and storing digital data"
implement data warehousing techniques,"Apply models and tools such as online analytical processing (OLAP) and Online transaction processing (OLTP), to integrate structured or unstructured data from sources, in order to create a central depository of historical and current data.",store digital data and systems
implement data warehousing techniques,"Apply models and tools such as online analytical processing (OLAP) and Online transaction processing (OLTP), to integrate structured or unstructured data from sources, in order to create a central depository of historical and current data.",apply statistical analysis techniques
use geographic information systems,Work with computer data systems such as Geographic Information Systems (GIS).,"managing, gathering and storing digital data"
use geographic information systems,Work with computer data systems such as Geographic Information Systems (GIS).,use agricultural information systems and databases
perform data mining,"Explore large datasets to reveal patterns using statistics, database systems or artificial intelligence and present the information in a comprehensible way.","managing, gathering and storing digital data"
perform data mining,"Explore large datasets to reveal patterns using statistics, database systems or artificial intelligence and present the information in a comprehensible way.",use databases
use electronic health records in nursing,"Use electronic health records to document nursing assessment, diagnosis, interventions and outcomes based on comparable nursing classification systems and nursing taxonomy.","managing, gathering and storing digital data"
use electronic health records in nursing,"Use electronic health records to document nursing assessment, diagnosis, interventions and outcomes based on comparable nursing classification systems and nursing taxonomy.",use databases
marketing analytics,The set of processes for employing data to improve the effectiveness of marketing activities. It involves analysing metrics such as the Return on Investment (ROI) for identify opportunities of improvement.,marketing and advertising
pay-per-click,Internet advertising model where an advert is place in a website directing traffic to some other website. The publisher gets paid by every click on the banner.,marketing and advertising
digital marketing techniques,"The marketing techniques used on the web to reach and engage with stakeholders, customers and clients.",marketing and advertising
social media marketing techniques,The marketing methods and strategies used to increase attention and website traffic through social media channels.,marketing and advertising
online ads campaign techniques,Techniques to plan and implement a marketing campaign on online ads platforms.,marketing and advertising
web strategy assessment,Techniques for conducting a deep analysis of a company's web presence.,marketing and advertising
ICT market,"The processes, stakeholders and the dynamics of the chain of goods and services in the ICT market sector.",marketing and advertising
mobile marketing,"The study of marketing which uses mobile devices as a communication channel. This approach can provide potential customers with personalised information (using location or time context) which promotes products, services or ideas.",marketing and advertising
search engine optimisation,The marketing approach which promotes webpage presentation by affecting the specific structures of the website which impact its visibility in unpaid search results.,marketing and advertising
search engine optimisation,The marketing approach which promotes webpage presentation by affecting the specific structures of the website which impact its visibility in unpaid search results.,"evaluate data, information and digital content"
audio mastering,The post-production process where the finished recorded audio is transferred to a data storage device from which it will be copied.,master disc manufacturing
audio mastering,The post-production process where the finished recorded audio is transferred to a data storage device from which it will be copied.,audio-visual techniques and media production
3D modelling,The process of developing a mathematical representation of any three-dimensional surface of an object via specialised software. The product is called a 3D model. It can be displayed as a two-dimensional image through a process called 3D rendering or used in a computer simulation of physical phenomena. The model can also be physically created using 3D printing devices.,mathematics
sensors,"Sensors are transducers that can detect or sense characteristics in their environment. They detect changes in the apparatus or environment and provide a corresponding optical or electrical signal. Sensors are commonly divided in six classes: mechanical, electronic, thermal, magnetic, electrochemical, and optical sensors.",mechanics and metal trades
microelectromechanical systems,"Microelectromechanical systems (MEMS) are miniaturised electromechanical systems made using processes of microfabrication. MEMS consist of microsensors, microactuators, microstructures, and microelectronics. MEMS can be used in a range of appliances, such as ink jet printer heads, digital light processors, gyroscopes in smart phones, accelerometers for airbags, and miniature microphones.",mechanics and metal trades
medical imaging technology,Set of technologies used to creating visual representations of the body interior for the purposes of clinical analysis.,medical diagnostic and treatment technology
healthcare data systems,The types of systems that manage and maintain healthcare user data.,medical diagnostic and treatment technology
3D body scanning technologies,The principles and usage of technologies for 3D body scanning used to capture the size and shape of the human body.,medical diagnostic and treatment technology
automated optical inspection,"During automated optical inspection (AOI), printed circuit boards (PCB) or surface-mount devices (SMD) are inspected by means of an automated optical inspection machine. During each automated optical inspection test, dozens of images are captured with a special camera and compared to previous assembled boards to detect any anomalies.",medical diagnostic and treatment technology
medical informatics,The processes and tools used for the analysis and dissemination of medical data through computerized systems.,medical diagnostic and treatment technology
health technology assessment ,"The assessment of the properties, performance and effects of health technologies aimed at detecting the direct and indirect effects of health technologies and their desired and undesired consequences.",medical diagnostic and treatment technology
health informatics,"Multidisciplinary field of computer science, information science, and social science that uses health information technology (HIT) to improve healthcare.",medical diagnostic and treatment technology
cyber attack counter-measures,"Methods, technologies and techniques used to defend (detect, monitor and recover) against cyber attacks. These cyber attacks include several attack vectors such as malware, denial of service (DoS) attacks and phishing. 

Intrusion prevention systems (IPS), firewall, antivirus, intrusion detection systems (IDS), cybersecurity training, backup, Information Security Management System (ISM), multi-factor authentication and employ awareness, are some examples of the methods used.",military and defence
cyber security,"The methods and best practices that protect ICT systems, networks, computers, devices, services, processes and people against unauthorised access, modification and/or denial of service of assets.",military and defence
carry out forum moderation,"Supervise communication activity on a web forum and other discussion platforms by assessing if the content adheres to forum regulations, enforcing rules of conduct, and ensuring the forum remains free of illegal material and conflict.",moderate a discussion
carry out forum moderation,"Supervise communication activity on a web forum and other discussion platforms by assessing if the content adheres to forum regulations, enforcing rules of conduct, and ensuring the forum remains free of illegal material and conflict.",apply social media marketing
carry out forum moderation,"Supervise communication activity on a web forum and other discussion platforms by assessing if the content adheres to forum regulations, enforcing rules of conduct, and ensuring the forum remains free of illegal material and conflict.",mediating and resolving disputes
monitor ICT research,Survey and investigate recent trends and developments in ICT research. Observe and anticipate mastery evolution.,monitor technology trends
monitor ICT research,Survey and investigate recent trends and developments in ICT research. Observe and anticipate mastery evolution.,monitoring developments in area of expertise
assess users' interaction with ICT applications,"Evaluate how users interact with ICT applications in order to analyse their behaviour, draw conclusions (for instance about their motives, expectations and goals) and improve applications' functionalities.",monitoring and evaluating the performance of individuals
assess ICT knowledge,Evaluate the implicit mastery of skilled experts in an ICT system to make it explicit for further analysis and usage.,monitoring and evaluating the performance of individuals
assess ICT knowledge,Evaluate the implicit mastery of skilled experts in an ICT system to make it explicit for further analysis and usage.,think critically
keep up with digital transformation of industrial processes,Keep up to date with digital innovations applicable to industrial processes. Integrate these transformations in the company's processes aiming for competitive and profitable business models.,monitoring developments in area of expertise
keep up with the latest information systems solutions,"Gather the latest information on existing information systems solutions which integrate software and hardware, as well as network components.",monitoring developments in area of expertise
keep up with the latest information systems solutions,"Gather the latest information on existing information systems solutions which integrate software and hardware, as well as network components.",demonstrate willingness to learn
stay up to date with social media,Keep up with the trends and people on social media,monitoring developments in area of expertise
stay up to date with social media,Keep up with the trends and people on social media,demonstrate willingness to learn
use specialised computer models for weather forecasting,Make short-term and long-term weather forecasts applying physical and mathematical formulae; understand specialised computer modelling applications.,monitoring environmental conditions
use meteorological tools to forecast meteorological conditions,"Use meteorological data and tools such as weather facsimile machines, weather charts and computer terminals, to anticipate weather conditions.",monitoring environmental conditions
employ habitat survey techniques,"Apply sampling strategies and employ a range of habitat survey techniques, such as Geographic Information Systems (GIS), Global Positioning Systems (GPS), aerial photography, records and maps.",monitoring environmental conditions
collect weather-related data,"Gather data from satellites, radars, remote sensors, and weather stations in order to obtain information about weather conditions and phenomena.",monitoring environmental conditions
collect weather-related data,"Gather data from satellites, radars, remote sensors, and weather stations in order to obtain information about weather conditions and phenomena.",manage quantitative data
monitor online competitors,Monitor activities of companies in the same sector offering a similar product or service in an online environment.,monitoring financial and economic resources and activity
use reservoir surveillance,Understand and operate well and reservoir surveillance system and remote sensing technology; monitor the reservoir level and decide on engineering interventions if necessary.,monitoring operational activities
analyse stress resistance of products,"Analyse the ability of products to endure stress imposed by temperature, loads, motion, vibration and other factors, by using mathematical formulas and computer simulations.",monitoring quality of products
execute social engineering tests,"Perform simulated social engineering attacks to identify vulnerabilities in an organization's security posture. Social engineering tests may involve phishing emails, pretexting, or other forms of manipulation used by attackers to obtain sensitive information or unauthorized access to systems. ",monitoring safety or security
electronic locks,"Locking devices that use electric current to operate. Electronic locks use motors, solenoids, or magnets to actuate the lock. Often, electronic locks have an access control system and require authentication, such as passwords, fingerprints or chip cards.","motor vehicles, ships and aircraft"
create 3D characters,Develop 3D models by transforming and digitising previously designed characters using specialised 3D tools,operate 3D computer graphics software
create 3D characters,Develop 3D models by transforming and digitising previously designed characters using specialised 3D tools,apply 3D imaging techniques
create 3D characters,Develop 3D models by transforming and digitising previously designed characters using specialised 3D tools,using computer aided design and drawing tools
render 3D images,Use specialised tools to convert 3D wire frame models into 2D images with 3D photorealistic effects or non-photorealistic rendering on a computer.,operate 3D computer graphics software
render 3D images,Use specialised tools to convert 3D wire frame models into 2D images with 3D photorealistic effects or non-photorealistic rendering on a computer.,create digital images
render 3D images,Use specialised tools to convert 3D wire frame models into 2D images with 3D photorealistic effects or non-photorealistic rendering on a computer.,apply 3D imaging techniques
render 3D images,Use specialised tools to convert 3D wire frame models into 2D images with 3D photorealistic effects or non-photorealistic rendering on a computer.,creating visual displays and decorations
create 3D environments,"Develop a computer-generated 3D representation of a setting such as simulated environment, where the users interact.",operate 3D computer graphics software
create 3D environments,"Develop a computer-generated 3D representation of a setting such as simulated environment, where the users interact.","designing industrial materials, systems or products"
operate automated optical inspection machine,"Inspect the quality of assembled printed circuit boards (PCB) or surface-mount devices (SMD) through operating the automated optical inspection machine. During each test, dozens of images are captured with a special camera and compared to previous assembled boards.",operate automated process control
operate automated optical inspection machine,"Inspect the quality of assembled printed circuit boards (PCB) or surface-mount devices (SMD) through operating the automated optical inspection machine. During each test, dozens of images are captured with a special camera and compared to previous assembled boards.",using precision instrumentation and equipment
use computerised maintenance management systems,Use computerised maintenance management systems (CMMS) in order to facilitate effective follow up of the work undertaken in maintenance facilities.,operate computerised control systems
use computerised maintenance management systems,Use computerised maintenance management systems (CMMS) in order to facilitate effective follow up of the work undertaken in maintenance facilities.,using digital tools for collaboration and productivity
use computerised maintenance management systems,Use computerised maintenance management systems (CMMS) in order to facilitate effective follow up of the work undertaken in maintenance facilities.,manage maintenance operations
operate railway control panels,Operate various types of railway control panels,operate control panels
operate railway control panels,Operate various types of railway control panels,using digital tools to control machinery
operate digital printers,"Handle inkjet and laser printers, allowing the operator to print documents in a single 'pass'. Download or print the digital files to the digital printing machine using the correct machine and print download settings so that the correct fonts and substrates are used and the output meets the specifications and required quality standards.",operate digital hardware
operate digital printers,"Handle inkjet and laser printers, allowing the operator to print documents in a single 'pass'. Download or print the digital files to the digital printing machine using the correct machine and print download settings so that the correct fonts and substrates are used and the output meets the specifications and required quality standards.",manage digital documents
operate digital printers,"Handle inkjet and laser printers, allowing the operator to print documents in a single 'pass'. Download or print the digital files to the digital printing machine using the correct machine and print download settings so that the correct fonts and substrates are used and the output meets the specifications and required quality standards.",using digital tools to control machinery
collect data using GPS,Gather data in the field using Global Positioning System (GPS) devices.,operate GPS systems
collect data using GPS,Gather data in the field using Global Positioning System (GPS) devices.,gathering information from physical or electronic sources
collect data using GPS,Gather data in the field using Global Positioning System (GPS) devices.,gather data
communicate using the global maritime distress and safety system,"Send an alert in case of distress, using any of the various GMDSS radio systems such that the alert has a very high probability of being received by either shore rescue authorities and/or other vessels in the area.",operate marine communication systems
communicate using the global maritime distress and safety system,"Send an alert in case of distress, using any of the various GMDSS radio systems such that the alert has a very high probability of being received by either shore rescue authorities and/or other vessels in the area.",operating communications equipment
communicate using the global maritime distress and safety system,"Send an alert in case of distress, using any of the various GMDSS radio systems such that the alert has a very high probability of being received by either shore rescue authorities and/or other vessels in the area.",react to physical changes or hazards
repair maritime communication equipment,Repair maritime communication devices as required by using electronic testing equipment.,operate maritime communication equipment
repair maritime communication equipment,Repair maritime communication devices as required by using electronic testing equipment.,"installing and repairing electrical, electronic and precision equipment"
use radar navigation,Operate modern radar navigation equipment to ensure safe vessel operations.,operate radar equipment
use radar navigation,Operate modern radar navigation equipment to ensure safe vessel operations.,operating communications equipment
operate remote broadcast equipment,Handle equipment that is used for broadcasting from locations which are far from central station. The pickup unit (RPU) is the most common tool for this communication.,operate radio equipment
operate remote broadcast equipment,Handle equipment that is used for broadcasting from locations which are far from central station. The pickup unit (RPU) is the most common tool for this communication.,operate broadcast equipment
operate remote broadcast equipment,Handle equipment that is used for broadcasting from locations which are far from central station. The pickup unit (RPU) is the most common tool for this communication.,operating communications equipment
operate two-way radio systems,Use radios that can receive and transmit sound signals in order to communicate with similar radios on the same frequency such as mobile phones and walkie talkies.,operate radio equipment
operate two-way radio systems,Use radios that can receive and transmit sound signals in order to communicate with similar radios on the same frequency such as mobile phones and walkie talkies.,operate radio navigation instruments
operate two-way radio systems,Use radios that can receive and transmit sound signals in order to communicate with similar radios on the same frequency such as mobile phones and walkie talkies.,operating communications equipment
apply precision farming,"Using modern technologies and equipment with high precision positioning systems, geo-mapping and/or automated steering systems for agricultural activities.",operating agricultural or forestry equipment
operate media integration systems,"Operate a media integration system for performing art and event applications during setup, configuration, rehearsals and during live performances.",operating audio-visual equipment
record audio materials,"Record materials such as books, newspapers, and educational materials in audio format. Enhance written texts by adding audio complements or making them otherwise accessible to visually impaired people.",operating audio-visual equipment
set up sound equipment,Set up equipment to record sound. Test acoustics and make adjustments.,operating audio-visual equipment
set up multimedia equipment,"Set up and test the multimedia and related systems and technology, according to their specifications.",operating audio-visual equipment
manage multi frequency wireless signal distribution,"Manage the set-up of wireless equipment for distribution of wireless control signals for performing art and event applications. Develop frequency plans, configure, test and monitor equipment and measures frequency spectrum. Ensure there is no interference between the different frequencies and channels and industry standard security for these devices.",operating audio-visual equipment
distribute control signals,"Distribute control signals between light boards, dimmers and other lighting equipment. Control systems can be either DMX or network based.",operating audio-visual equipment
operate video equipment,Use  of various types of video equipment.,operating audio-visual equipment
prevent technical problems with media integration systems,"Adapt the use of media integration equipment and software to prevent undesired changes in the overall image and design, safeguarding the overall performing arts or event production quality. Including physical issues as well as digital ones like latency, interference or processor load.",operating audio-visual equipment
set up media integration systems,"Set up different types of light, sound, image and movement control boards and related equipment like tracking systems, media servers and control software and hardware.",operating audio-visual equipment
select recording source,Select the source from which programs will be recorded such as satellite or studio.,operating audio-visual equipment
plot show control cues,"Enter, check and try out the different states in a show control board or system. Put in actions, levels, positions, changeovers, etc.",operating audio-visual equipment
adjust video transmissions,"Adjust the fidelity, brightness, and contrast of video transmissions by using video console control panels.",operating audio-visual equipment
operate an audio mixing console,Operate an audio mixing system during rehearsals or during live performances.,operating audio-visual equipment
configure media integration systems,"Define and configure the relation between incoming and outgoing signals for performing art and event applications. Using visual programming software, translating the used signal protocols, patching, merging or splitting data streams.",operating audio-visual equipment
use a telecine,"Operate a Cathode-ray tube (CRT) system or a charge-coupled device telecine (CCD), which produce white light to colour grade images on film by exposing them to this light.",operating audio-visual equipment
record multi-track sound,Recording and mixing audio signals from different sound sources on a multi-track recorder.,operating audio-visual equipment
assist multimedia operator,Take over tasks from the multimedia operator as required. Call cues for the multimedia operator or operate the multimedia equipment yourself.,operating audio-visual equipment
operate audio equipment,"Apply technologies for re-creation or recording of sounds, such as speaking, sound of instruments in electrical or mechanical form.",operating audio-visual equipment
cut raw footage digitally,Digitally cut video footage to put together the sequence of the film and decide what is usable.,operating audio-visual equipment
operate sound live,Operate sound system and audio devices during rehearsals or in a live situation.,operating audio-visual equipment
set up basic recording,Set up a basic stereo audio recording system.,operating audio-visual equipment
create infrared imagery,Use an infrared camera to produce imagery displaying the infrared part of the spectrum.,operating audio-visual equipment
tune up wireless audio systems,Tune up a wireless audio system in a live situation.,operating audio-visual equipment
tune up wireless audio systems,Tune up a wireless audio system in a live situation.,set up sound reinforcement system
operate audio-signal processors,Operate audio-signal processors to alter auditory signals.,operating audio-visual equipment
operate audio-signal processors,Operate audio-signal processors to alter auditory signals.,use audio reproduction software
use a complex communication system,Install and operate complex communication systems.,operating communications equipment
use water navigation devices,"Utilise water navigation devices, e.g. compass or sextant, or navigational aids such as lighthouses or buoys, radar, satellite, and computer systems, in order to navigate vessels on waterways. Work with recent charts/maps, notices, and publications in order to determine the precise position of a vessel.",operating communications equipment
operate tote board,"Operate a tote board, either manually or using software.",operating communications equipment
solve location and navigation problems by using GPS tools,"Use applications and devices which provide users with accurate assessment of their location using system of satellites, such as navigation systems.",operating communications equipment
broadcast using Internet Protocol,Manage broadcasting over the internet by properly using the Internet Protocol in order to ensure the broadcast is accessible to users.,operating communications equipment
use communication equipment,"Set up, test and operate different types of communication equipment such as transmission equipment, digital network equipment, or telecommunications equipment.",operating communications equipment
use communication devices,"Operate communication devices in order to interact with customers, colleagues, and others.",operating communications equipment
operate private branch exchange,"Handle Private Branch Exchange (PBX), a telecommunication system within an organisation that switches calls between users on local lines. At the same time the system allows all users to share external phone lines.",operating communications equipment
perform scrambling operations,"Control and monitor the air force radio network and perform scrambling operations or intrusions, which mean to disrupt the functioning of adverse emissions. Scrambling is mostly performed on voice communication and signals by the use of Digital Signal Processors (DSP).",operating communications equipment
operate broadcast equipment,"Operate broadcast equipment to produce, switch, receive, record, edit, and reproduce television and radio signals.",operating communications equipment
operate radar equipment,Operate radar screens and other radar equipment. Ensure that aircraft fly at a safe distance from one another.,operating communications equipment
align antennae with receiving dishes,Align antennae with receiving dishes to obtain the clearest signal for transmission of broadcasts from field locations.,operating communications equipment
operate an emergency communication system,"Efficiently operate common communication systems used in emergencies, such as base station mobile transmitters and receivers, portable transmitters and receivers, repeaters, cellular phones, pagers, automated vehicle locators, and satellite phones as required.",operating communications equipment
use aeronautical mobile service communications,"Make use of aeronautical communications devices to transmit and receive technical information to and from aircraft, in line with technical regulations and provisions.",operating communications equipment
operate radio equipment,"Set up and operate radio devices and accessories, such as broadcast consoles, amplifiers, and microphones. Understand the basics of radio operator language and, when necessary, provide instruction in handling radio equipment correctly.",operating communications equipment
operate radio equipment,"Set up and operate radio devices and accessories, such as broadcast consoles, amplifiers, and microphones. Understand the basics of radio operator language and, when necessary, provide instruction in handling radio equipment correctly.",coordinate remote communications
operate port communications systems,"Operate telephone and radio systems, and more complex communication systems used in inland waterway ports, in the coordination of port operations.",operating communications equipment
operate port communications systems,"Operate telephone and radio systems, and more complex communication systems used in inland waterway ports, in the coordination of port operations.",coordinate remote communications
operate port communications systems,"Operate telephone and radio systems, and more complex communication systems used in inland waterway ports, in the coordination of port operations.",maintain operational communications
operate port communications systems,"Operate telephone and radio systems, and more complex communication systems used in inland waterway ports, in the coordination of port operations.",manage port operations
monitor quality of broadcasts,"Monitor strength, clarity, and reliability of incoming and outgoing signals to adjust equipment as necessary to maintain the quality of the broadcast.",operating communications equipment
monitor quality of broadcasts,"Monitor strength, clarity, and reliability of incoming and outgoing signals to adjust equipment as necessary to maintain the quality of the broadcast.",manage quality
coordinate the allocation of Mode S radars to Interrogator Codes,Ensure correct and safe operation of Mode S Secondary Surveillance Radars. Ensure they are configured with an Interrogator Code (IC) allocated specifically to each radar.,operating communications equipment
coordinate the allocation of Mode S radars to Interrogator Codes,Ensure correct and safe operation of Mode S Secondary Surveillance Radars. Ensure they are configured with an Interrogator Code (IC) allocated specifically to each radar.,operate radar equipment
use modern electronic navigational aids,Use modern navigational aids such as GPS and radar systems.,operating communications equipment
use modern electronic navigational aids,Use modern navigational aids such as GPS and radar systems.,solve location and navigation problems by using GPS tools
operate automatic cutting systems for footwear and leather goods,"Work with the equipment's software. Digitise and mark the leather areas with faults in order to avoid them. Establish nesting and cutting restrictions for each pattern. Pick up, sort, upload patterns, check and complete cutting orders. Adjust the machines and equipment parameters and perform simple procedures for maintenance.","operating cutting, grinding and smoothing machinery"
operate medical imaging equipment,"Produce high quality medical images using technologically advanced medical imaging equipment such as CT (computed tomography), MRI (magnetic resonance imaging), mobile X-ray machines, ultrasound (US), nuclear medicine with Positron Emission Tomography (PET) and Single Photon Emission Computed Tomography (SPECT).",operating medical equipment
operate life-saving appliances,"Operate survival craft and their launching appliances and arrangements. Operate life-saving instruments like radio life-saving appliances, satellite EPIRBs, SARTs, immersion suits and thermal protective aids.",operating medical equipment
adjust hearing aids,"Program hearing aids using a computer, fitting and dispensing hearing aids, or administering cochlear implants, electronic devices used to improve a person`s hearing.",operating medical equipment
use special hearing equipment for tests,Use audiometers and computers to determine the degree of a patient`s hearing disorder and find other factors relating to the problem.,operating medical equipment
operate bale presses,"Start, operate and monitor computerised bale presses.",operating packaging machinery
operate automated process control,Operate process control or automation system (PAS) used to control a production process automatically.,operating precision industrial equipment
set colour profiles,Maintain consistent colour output in digital colour and inkjet printers by running calibration routines and making sure that the colour profiles for the printers are still accurate.,operating print and photographic production equipment
operate imagesetter,"Use a typesetting device that transfers electronic text and graphics directly to film, printing plates or photo-sensitive paper. The image is generated by a laser and raster image processor. Their use is to proof documents before the making of printing plates.",operating print and photographic production equipment
perform pill branding,Perform the printing of the institution identity on pills using the pill branding laptop.,operating print and photographic production equipment
use colour printing programs,"Use colour printing programs, such as the CMYK colour (ink) model for various pressing machines.",operating print and photographic production equipment
scan negatives,"Scan processed negatives so they can be digitally stored, edited, and printed.",operating print and photographic production equipment
operate collating machine,Set up and monitor the machine that automatically sorts the different pages of documents.,operating print and photographic production equipment
use specialised equipment,"Use specialised equipment such as electron microscope, telemetry, digital imaging analysis, global positioning systems, and computer modelling in studies and analyses of production methodology.",operating scientific and laboratory equipment
operate seismic equipment,Move seismic equipment to different locations. Utilise seismometers. Observe recording equipment in order to detect anomalies and irregularities. Process and interpret seismic data both in 2D as in 3D.,operating scientific and laboratory equipment
operate echo sounding equipment,"Operate technological equipment to measure the ocean's depth. Calculate and interpret results, and communicate them to management.",operating scientific and laboratory equipment
locate fossils,Determine the location of fossils using radar scanners and other equipment.,operating scientific and laboratory equipment
use ultrasonic equipment,Use ultrasonic techniques and equipment to discover defects in solid materials.,operating scientific and laboratory equipment
use technology for forensics,Operate specialised tools used for forensic investigations.,operating scientific and laboratory equipment
use technology for forensics,Operate specialised tools used for forensic investigations.,identify technological needs
use technology for forensics,Operate specialised tools used for forensic investigations.,perform forensic examinations
mobile operating systems,"The features, restrictions, architectures and other characteristics of operating systems designed to run on mobile devices",operating systems
mobile operating systems,"The features, restrictions, architectures and other characteristics of operating systems designed to run on mobile devices",software and applications development and analysis
manage quantitative data,"Gather, process and present quantitative data. Use the appropriate programs and methods for validating, organising and interpreting data.","organise information, objects and resources"
manage quantitative data,"Gather, process and present quantitative data. Use the appropriate programs and methods for validating, organising and interpreting data.","managing, gathering and storing digital data"
supervise video quality,Oversee the quality and progress of audio and video engineering and editing.,oversee quality control
supervise video quality,Oversee the quality and progress of audio and video engineering and editing.,manage quality
supervise video quality,Oversee the quality and progress of audio and video engineering and editing.,operating audio-visual equipment
maintain stock control systems,Keep stock control systems up to date and ensure inventory accuracy.,oversee stock quality control
maintain stock control systems,Keep stock control systems up to date and ensure inventory accuracy.,storing goods and materials
use specific data analysis software,"Use specific software for data analysis, including statistics, spreadsheets, and databases. Explore possibilities in order to make reports to managers, superiors, or clients.",perform data analysis
use specific data analysis software,"Use specific software for data analysis, including statistics, spreadsheets, and databases. Explore possibilities in order to make reports to managers, superiors, or clients.","managing, gathering and storing digital data"
troubleshoot website,"Detect the flaws and malfunctions of a website. Apply troubleshooting techniques on content, structure, interface and interactions in order to find the causes and solve the malfunctions.",perform ICT troubleshooting
troubleshoot website,"Detect the flaws and malfunctions of a website. Apply troubleshooting techniques on content, structure, interface and interactions in order to find the causes and solve the malfunctions.",resolving computer problems
troubleshoot website,"Detect the flaws and malfunctions of a website. Apply troubleshooting techniques on content, structure, interface and interactions in order to find the causes and solve the malfunctions.",manage website
troubleshoot website,"Detect the flaws and malfunctions of a website. Apply troubleshooting techniques on content, structure, interface and interactions in order to find the causes and solve the malfunctions.",troubleshoot
execute ICT audits,"Organise and execute audits in order to evaluate ICT systems, compliance of components of systems, information processing systems and information security. Identify and collect potential critical issues and recommend solutions based on required standards and solutions.",perform quality audits
execute ICT audits,"Organise and execute audits in order to evaluate ICT systems, compliance of components of systems, information processing systems and information security. Identify and collect potential critical issues and recommend solutions based on required standards and solutions.","evaluating systems, programmes, equipment and products"
perform safety data analysis,Use different safety databases to perform analyses of information on actual or potential safety threats.,perform risk analysis
perform safety data analysis,Use different safety databases to perform analyses of information on actual or potential safety threats.,think critically
perform safety data analysis,Use different safety databases to perform analyses of information on actual or potential safety threats.,"managing, gathering and storing digital data"
test power electronics,"Test power electronics using appropriate equipment. Gather and analyse data on systems and components, such as analogue and digital circuit tolerance, power losses and overall efficiency as electricity works its way through circuits.  Monitor and evaluate system performance and take action if needed.",perform test run
test power electronics,"Test power electronics using appropriate equipment. Gather and analyse data on systems and components, such as analogue and digital circuit tolerance, power losses and overall efficiency as electricity works its way through circuits.  Monitor and evaluate system performance and take action if needed.",testing electrical and mechanical systems or equipment
operate warehouse record systems,"Operate systems for recording product, packaging, and order information in specific formats and types of record.",perform warehousing operations
operate warehouse record systems,"Operate systems for recording product, packaging, and order information in specific formats and types of record.",maintaining operational records
set up office equipment,"Connect office equipment, such as modems, scanners and printers, to the electricity network and perform electrical bonding to avoid dangerous potential differences. Test the installation for proper functioning. Monitor settings and prepare the appliance for usage.",performing general clerical and administrative tasks
use free typing techniques,"Know, use and write documents, texts and content in general without looking at the keyboard. Use techniques to write documents in such fashion.",performing general clerical and administrative tasks
implement ICT risk management,"Develop and implement procedures for identifying, assessing, treating and mitigating ICT risks, such as hacks or data leaks, according to the company's risk strategy, procedures and policies. Analyse and manage security risks and incidents. Recommend measures to improve digital security strategy.",performing risk analysis and management
recognise blockchain risks,"Recognise risks associated with blockchain and cryptocurrency. Apart from standard risks associated with the business processes they are driving, blockchains bear value-transfer risks linked to the peer-to-peer type of value transfer. Risk are also linked to smart contracts as digital representations of more or less complex business relationships.",performing risk analysis and management
create risk maps,"Use data visualisation tools in order to communicate the specific financial risks, their nature and impact for an organisation.",performing risk analysis and management
implement cloud security and compliance,Implement and manage security policies and access controls on cloud. Differentiate between the roles and responsibilities within the shared responsibility model.,performing risk analysis and management
implement cloud security and compliance,Implement and manage security policies and access controls on cloud. Differentiate between the roles and responsibilities within the shared responsibility model.,implement ICT risk management
ethics of sharing work through social media,The ethics around the appropriate use of social networks and media channels through which to share your work.,philosophy and ethics
ethics of sharing work through social media,The ethics around the appropriate use of social networks and media channels through which to share your work.,social media management
types of satellites,"The different types of satellites used for communications, streaming services, surveillance, and scientific research.",physics
fibre optics,"The technology which utilises optical fibre, such as plastic or glass threads, to transmit data. Optical fibres are able to transmit light between the two ends of the fibre and may transfer images and messages modulated onto light waves. Fibre optic cables have increased in popularity because of their possibility to transfer data over long distances at higher bandwidths and with lesser amounts of interference than metal cables.",physics
