preferredLabel,description,broaderConceptPT
conduct search engine optimisation,"Execute optimal marketing research and strategies on search engine processes, also known as search engine marketing (SEM), in order to increase online traffic and website exposure.","browsing, searching and filtering digital data"
outline blockchain-based identity management,"Outline blockchain-based identity management and access control in terms of how they work, what their benefits are compared to current solutions, and how they can be applied for specific applications.","browsing, searching and filtering digital data"
work with e-services available to citizens,"Use, manage and work with public and private online services, such as e-commerce, e-governance, e-banking, e-health services.","browsing, searching and filtering digital data"
work with e-services available to citizens,"Use, manage and work with public and private online services, such as e-commerce, e-governance, e-banking, e-health services.",use e-services
technical drawings,"Drawing software and the various symbols, perspectives, units of measurement, notation systems, visual styles and page layouts used in technical drawings.",building and civil engineering
roofing drones,"Types of remotely operated aircraft (ROA) which are used for visually assessing roofing damage, image or video capturing and gathering general size information for roofing works and further construction.",building and civil engineering
building information modelling,"A software platform for integrated design, modelling, planning, and collaboration, which provides a digital representation of a building's characteristics in its whole lifecycle.",building and civil engineering
assistive instruments,The field of dealing with people in need of service animals and the working of assistive devices and technologies.,care of the elderly and of disabled adults
calculate costs of repair operations,Calculate material and labour costs of repair operations. Understand appropriate computer programmes.,carry out calculations
calculate costs of repair operations,Calculate material and labour costs of repair operations. Understand appropriate computer programmes.,assess operating cost
calculate costs of repair operations,Calculate material and labour costs of repair operations. Understand appropriate computer programmes.,estimating resource needs
evaluate cost of software products,"Apply methods and techniques to estimate and evaluate the cost of software products during their life-cycle phases, including development and acquisition costs, cost of maintenance, incorporated cost of quality-compliance and non-compliance associated costs.",carry out calculations
evaluate cost of software products,"Apply methods and techniques to estimate and evaluate the cost of software products during their life-cycle phases, including development and acquisition costs, cost of maintenance, incorporated cost of quality-compliance and non-compliance associated costs.","evaluating systems, programmes, equipment and products"
use mathematical tools and equipment,Use portable electronic device to perform both basic and complex operations of arithmetic.,carry out calculations
use mathematical tools and equipment,Use portable electronic device to perform both basic and complex operations of arithmetic.,performing calculations
study radar images,Analyse radar images to study phenomena on Earth's surface.,carrying out forensic and police investigations
study radar images,Analyse radar images to study phenomena on Earth's surface.,analyse images
cutting technologies,"The variety of cutting technologies, such as software or mechanics, guiding cutting processes through lasering, sawing, milling etc.",chemical engineering and processes
computational chemistry,The branch of chemistry that aims at addressing complex chemical problems through computer simulations.,chemistry
